"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-05",,,,,"0.87","3.72",,"58.5","68.5","48.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-06",,,,,"2.57","4.79",,"67.7","77.0","58.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-07",,,,,"0.85","3.64",,"70.4","79.0","61.9"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-08",,,,,"0.46","2.41",,"70.2","78.5","61.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-09",,,,,"1.11","3.79",,"63.3","72.9","53.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-10",,,,,"0.69","1.31",,"53.4","63.2","43.7"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-11",,,,,"1.91","4.74",,"43.4","50.3","36.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2000-12",,,,,"2.23","4.26",,"28.8","36.4","21.3"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-01","20","3","5","5.6","0.74","2.40","9.7","29.0","36.9","21.1"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-02","6","4","4","4.5","0.93","1.96","10.8","31.8","40.1","23.6"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-03","7","3","5","3.5","2.57","8.79","10.4","36.3","43.0","29.6"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-04","0","0","0","0.0","0.84","2.04","0.0","49.1","59.4","38.7"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-05","0","0","0","0.0","1.70","3.96","0.0","60.1","70.5","49.7"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-06","0","0","0","0.0","2.66","6.72","0.0","70.5","79.2","61.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-07","0","0","0","0.0","0.71","1.91","0.0","69.8","79.9","59.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-08","0","0","0","0.0","1.70","4.50","0.0","74.2","83.0","65.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-09","0","0","0","0.0","2.08","4.40","0.0","64.8","74.5","55.2"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-10","0","0","0","0.0","0.33","0.65","0.0","54.2","65.2","43.2"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-11","0","0","0","0.0","0.20","0.41","0.0","47.6","57.5","37.7"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2001-12","1","1","1","1.3","0.79","2.47","1.5","39.3","46.9","31.6"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-01","4","2","4","3.2","0.83","2.76","5.6","35.2","43.4","27.0"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-02","0","0","0","0.6","0.45","1.72","0.6","35.6","45.5","25.6"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-03","1","1","1","2.5","1.28","4.83","2.5","40.2","50.0","30.3"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-04","0","0","0","0.0","0.81","3.08","0.0","51.0","60.9","41.1"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-05","0","0","0","0.0","1.57","4.97","0.0","56.6","66.8","46.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-06","0","0","0","0.0","1.23","3.32","0.0","66.3","76.3","56.3"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-07","0","0","0","0.0","0.23","0.39","0.0","75.6","85.8","65.3"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-08","0","0","0","0.0","0.62","1.91","0.0","75.3","84.7","65.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-09","0","0","0","0.0","1.39","5.26","0.0","67.8","76.9","58.7"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-10","0","0","0","0.0","1.33","3.49","0.0","52.9","60.9","44.9"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-11","4","1","4","5.8","1.48","5.66","5.8","42.9","50.2","35.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2002-12","12","5","5","6.2","1.31","4.94","12.0","33.0","40.3","25.7"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-01","7","1","2","1.3","0.68","2.04","3.9","25.1","32.0","18.1"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-02","16","3","13","14.7","1.10","3.75","24.7","26.1","33.5","18.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-03","5","2","5","5.0","1.66","5.18","7.8","38.3","48.2","28.4"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-04","1","1","2","2.1","1.14","4.35","2.1","45.4","54.5","36.4"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-05","0","0","0","0.0","1.40","3.14","0.0","55.2","64.0","46.4"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-06","0","0","0","0.0","1.56","5.52","0.0","65.2","73.1","57.4"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2003-07","0","0","0","0.0","1.02","3.62","0.0","73.5","82.2","64.8"
